5,2,0,0
11,9,2,1
16,19,6,3
22,29,11,5
27,33,18,9
33,37,25,12
39,45,32,17
45,52,39,22
51,58,45,28
57,62,50,34
70,64,56,40
83,70,61,46
98,77,66,52
111,75,69,57
125,81,73,62
140,86,77,67
154,91,82,71
169,94,85,75
184,93,89,79
198,92,91,82
212,91,92,85
227,95,93,87
242,98,93,89
257,100,95,92
272,96,96,93
286,99,97,94
302,101,98,95
317,95,98,96
331,97,97,96
346,99,98,97
360,100,98,98
376,93,96,97
391,94,96,97
405,95,96,96
419,96,95,96
435,94,94,96
449,90,93,95
463,86,92,94
478,83,89,93
492,81,86,91
507,82,84,89
522,82,82,88
536,79,81,86
550,75,79,84
566,71,77,82
580,68,75,79
594,64,71,77
609,64,68,74
623,65,66,73
638,63,64,71
653,59,63,69
667,56,61,66
681,54,59,63
697,51,56,61
711,50,54,59
726,52,52,57
740,51,51,56
754,50,50,55
770,49,50,53
784,48,50,52
798,47,49,50
813,46,48,49
827,50,48,49
842,53,48,49
857,53,49,49
871,53,51,50
885,54,52,50
901,54,53,50
915,55,53,51
929,60,55,52
944,66,57,54
958,67,60,56
973,68,63,58
988,69,66,59
1002,70,68,61
1017,77,70,64
1034,77,72,66
1049,79,74,68
1064,86,77,71
1080,84,80,74
1096,87,82,76
1112,93,85,79
1127,90,88,81
1142,94,89,83
1158,97,92,86
1174,94,93,88
1189,99,94,90
1205,101,97,92
1221,104,99,94
1239,103,100,96
1256,103,102,97
1273,98,101,98
1290,101,101,99
1308,101,101,100
1327,98,100,100
1344,103,100,101
1363,98,100,101
1381,102,100,101
1399,98,99,100
1416,93,98,99
1432,97,97,98
1447,89,95,98
1463,89,93,96
1478,90,91,95
1495,81,89,94
1510,82,86,91
1525,82,84,90
1541,74,81,87
1556,76,79,85
1572,73,77,83
1588,67,74,80
1603,68,71,78
1618,64,69,75
1635,61,66,72
1650,61,64,70
1666,56,62,68
1681,55,59,65
1697,55,57,63
1713,50,55,61
1728,51,53,58
1743,52,52,57
1759,48,51,55
1775,49,50,53
1790,52,50,52
1806,47,49,51
1821,50,49,50
1838,52,50,50
1853,50,50,50
1868,54,50,50
1884,55,52,50
1900,56,53,51
1915,61,55,52
1931,59,57,53
1946,62,58,54
1963,69,61,56
1978,65,63,58
1993,71,65,60
2009,77,68,62
2024,72,70,64
2040,79,72,67
2056,84,76,69
2071,80,78,71
2086,88,80,74
2103,90,84,77
2118,88,86,79
2134,95,88,82
2149,95,91,84
2165,94,92,86
2181,102,94,89
2197,100,97,91
2213,99,98,93
2230,104,99,95
2246,104,101,97
2264,104,102,98
2281,99,102,99
2298,101,102,100
2317,103,102,101
2335,105,102,102
2354,102,102,102
2373,97,101,101
2391,102,101,102
2409,97,100,101
2427,96,98,100
2444,96,97,99
2459,88,95,98
2475,87,92,97
2490,89,91,95
2506,80,88,93
2522,80,84,91
2537,81,83,89
2552,72,80,86
2569,73,77,84
2584,72,75,81
2599,65,72,78
2615,66,69,76
2631,63,67,74
2647,59,65,71
2662,60,62,69
2677,55,60,66
2694,53,58,63
2709,54,56,62
2724,48,54,59
2740,50,52,57
2755,51,51,55
2771,47,50,54
2787,49,49,52
2802,51,49,51
2818,48,49,50
2834,50,49,50
2849,54,50,50
2865,51,50,49
2880,55,51,50
2896,57,53,51
2912,57,54,51
2927,62,56,53
2942,62,58,54
2959,64,60,56
2974,70,63,58
2990,69,65,60
3005,72,67,61
3020,80,71,64
3037,76,73,66
3052,81,75,69
3067,86,79,72
3083,82,81,74
3099,89,82,76
3115,92,86,79
3130,88,87,81
3145,96,89,84
3162,97,92,86
3177,95,93,88
3192,103,95,90
3209,100,98,92
3226,99,98,94
3241,106,100,96
3259,102,102,97
3276,100,101,98
3295,107,102,100
3313,103,103,101
3332,99,102,101
3349,105,102,102
3368,99,102,102
3386,101,101,102
3404,99,100,102
3422,95,99,101
3439,95,97,100
3456,93,96,99
3471,87,93,97
3486,84,90,95
3503,87,89,94
3518,79,86,91
3533,78,83,89
3549,80,81,87
3565,69,78,84
3580,71,75,82
3596,71,73,79
3611,63,70,76
3628,63,67,74
3643,62,66,72
3658,57,63,69
3674,58,60,67
3689,55,59,64
3705,52,56,62
3721,53,55,60
3736,49,53,58
3751,49,51,56
3768,51,50,54
3783,46,49,53
3799,49,48,51
3814,51,49,51
3830,48,49,50
3846,51,49,49
3861,55,50,50
3876,52,51,50
3893,56,52,50
3908,60,54,51
3923,58,56,52
3939,63,57,54
3954,65,60,55
3971,66,62,57
3986,72,64,59
4001,72,67,61
4017,74,69,63
4033,82,73,66
4048,79,75,69
4064,82,77,71
4079,89,81,74
4096,85,83,76
4111,90,85,79
4126,94,88,81
4142,90,89,83
4158,97,91,86
4173,99,94,88
4189,95,95,90
4204,103,96,92
4220,100,98,94
4238,98,99,95
4253,106,100,97
4271,103,102,98
4288,100,101,99
4306,106,102,100
4325,102,103,101
4343,98,101,101
4362,103,101,101
4380,98,101,101
4398,100,100,101
4416,97,99,101
4433,93,98,100
4450,88,95,98
4465,92,94,97
4481,86,91,95
4497,82,88,93
4512,85,86,92
4528,78,84,89
4543,76,81,87
4559,78,79,85
4575,68,77,82
4590,69,73,80
4605,70,72,78
4621,62,69,75
4637,62,66,73
4653,62,65,71
4668,56,62,68
4683,56,59,65
4700,54,58,63
4715,51,55,61
4730,52,53,59
4746,49,52,57
4762,49,51,55
4777,51,50,54
4793,46,49,52
4808,48,48,51
4825,52,49,50
4840,49,49,50
4855,52,49,49
4871,56,51,50
4886,53,52,50
4902,57,53,51
4918,61,55,52
4933,59,57,53
4948,65,59,55
4965,67,61,57
4980,67,63,58
4996,74,66,61
5011,74,69,63
5027,75,71,65
5043,83,74,68
5058,81,77,70
5073,84,79,72
5090,90,82,76
5105,87,85,78
5121,91,86,80
5136,96,89,83
5151,92,91,85
5168,98,92,87
5183,100,95,90
5199,103,97,92
5216,103,99,94
5233,100,100,96
5251,105,102,97
5268,101,102,98
5285,101,102,99
5304,106,102,100
5322,104,103,102
5341,99,102,102
5359,104,102,102
5378,100,102,102
5396,95,100,101
5413,100,99,101
5432,93,98,100
5448,93,96,99
5464,86,93,98
5479,88,92,96
5495,86,89,94
5511,80,86,92
5526,82,84,90
5541,77,82,88
5558,73,79,85
5573,74,77,83
5588,67,74,80
5604,66,71,77
5619,67,69,76
5636,59,66,73
5651,60,63,70
5666,61,62,68
5682,53,60,65
5698,54,57,63
5713,55,56,61
5729,49,54,59
5744,50,52,57
5761,50,51,55
5776,48,50,53
5791,50,49,53
5807,48,49,51
5823,49,49,50
5838,52,49,50
5854,49,49,50
5869,53,50,49
5884,57,52,50
5901,53,52,50
5916,58,54,51
5932,65,57,53
5947,61,58,54
5963,66,60,56
5979,71,64,58
5994,69,66,60
6009,76,68,62
6026,77,71,65
6041,77,74,67
6056,84,76,70
6072,84,79,73
6088,85,81,75
6104,93,84,78
6119,90,87,80
6134,92,88,82
6150,98,91,85
6166,95,93,87
6181,98,94,89
6197,102,97,92
6213,105,99,94
6231,102,100,96
6248,104,102,97
6265,100,102,98
6283,103,102,99
6301,104,102,101
6320,106,103,101
6338,101,102,102
6358,97,102,102
6375,103,102,102
6393,97,100,101
6411,98,99,101
6428,97,98,100
6445,92,97,99
6460,92,95,98
6475,83,92,96
6492,86,90,94
6507,84,87,92
6522,78,84,91
6538,80,82,88
6554,76,80,86
6569,71,77,83
6585,72,75,81
6600,66,73,78
6616,64,69,76
6632,64,67,74
6647,57,64,71
6663,58,61,68
6678,58,60,66
6694,52,57,63
6710,53,55,61
6725,54,55,59
6740,48,53,57
6757,50,51,55
6772,51,51,54
6788,48,50,52
6803,50,49,52
6819,50,49,51
6835,49,49,50
6850,52,49,50
6865,52,50,50
6881,53,51,50
6897,59,53,51
6913,55,54,51
6928,60,55,52
6943,67,58,54
6960,62,60,55
6975,68,62,57
6990,74,66,60
7006,70,68,62
7022,77,70,64
7037,80,73,67
7053,79,76,69
7068,86,78,72
7084,86,81,74
7100,86,83,76
7115,94,86,80
7131,93,89,82
7146,93,90,84
7162,100,93,87
7179,100,96,89
7195,98,96,91
7211,103,98,93
7228,104,101,95
7245,103,101,97
7263,98,101,98
7279,101,101,99
7298,102,101,100
7316,98,100,100
7333,104,100,101
7353,100,101,101
7371,95,99,100
7388,96,98,100
7404,97,98,99
7420,92,96,98
7436,96,95,98
7451,90,94,97
7467,87,92,95
7482,90,91,94
7498,83,89,92
7514,81,86,90
7529,83,84,89
7544,73,82,87
7561,74,78,84
7576,75,77,83
7591,66,74,80
7607,66,70,77
7623,65,69,75
7639,59,66,72
7654,60,63,70
7669,58,61,67
7686,54,59,65
7701,55,57,63
7716,51,55,60
7732,50,53,58
7747,51,52,56
7763,47,50,55
7779,49,49,53
7794,51,49,52
7810,47,49,51
7826,49,48,50
7841,53,49,50
7857,50,50,49
7872,53,50,50
7888,57,52,50
7904,55,53,51
7919,60,55,52
7934,62,57,53
7950,62,59,54
7966,68,61,56
7982,69,64,58
7997,71,66,60
8012,78,69,63
8029,76,72,65
8044,79,74,68
8059,86,78,71
8075,82,80,73
8091,87,82,75
8107,92,85,78
8122,88,87,80
8137,94,88,83
8154,97,91,85
8169,93,92,87
8184,100,94,89
8201,99,96,91
8216,103,98,93
8233,104,99,95
8250,102,101,97
8267,105,102,98
8286,100,102,99
8303,102,102,100
8322,99,101,100
8339,104,102,101
8358,100,101,101
8377,96,100,101
8394,100,99,101
8412,96,99,100
8429,97,97,99
8444,89,95,98
8460,90,94,97
8475,90,92,96
8492,81,89,94
8507,83,86,92
8522,82,85,90
8538,75,82,88
8554,77,79,86
8569,73,78,83
8585,68,75,80
8600,69,72,78
8615,63,70,76
8632,61,66,73
8647,62,64,71
8663,55,62,68
8678,56,59,65
8694,56,58,64
8710,51,56,61
8725,51,53,59
8740,53,53,57
8757,48,51,55
8772,50,50,54
8787,51,50,53
8803,48,50,51
8819,50,49,51
8835,51,50,50
8850,50,50,50
8865,54,50,50
